time_index,year,qtr,EXPORT_GOODS_TOTAL_bln_usd,GDP_bln_rub,GDP_yoy,GOV_EXPENSE_ACCUM_CONSOLIDATED_bln_rub,GOV_EXPENSE_ACCUM_FEDERAL_bln_rub,GOV_EXPENSE_ACCUM_SUBFEDERAL_bln_rub,GOV_REVENUE_ACCUM_CONSOLIDATED_bln_rub,GOV_REVENUE_ACCUM_FEDERAL_bln_rub,GOV_REVENUE_ACCUM_SUBFEDERAL_bln_rub,GOV_SURPLUS_ACCUM_FEDERAL_bln_rub,GOV_SURPLUS_ACCUM_SUBFEDERAL_bln_rub,IMPORT_GOODS_TOTAL_bln_usd,IND_PROD_rog,IND_PROD_yoy,RETAIL_SALES_FOOD_bln_rub,RETAIL_SALES_FOOD_rog,RETAIL_SALES_FOOD_yoy,RETAIL_SALES_NONFOODS_bln_rub,RETAIL_SALES_NONFOODS_rog,RETAIL_SALES_NONFOODS_yoy,RETAIL_SALES_bln_rub,RETAIL_SALES_rog,RETAIL_SALES_yoy
2001-09-30,2001,3,25.6,2488.0,106.0,1655.7,929.6,896.2,1881.5,1108.4,943.2,178.8,47.0,13.2,,,361.7,106.2,109.4,421.6,105.3,113.7,783.3,105.7,111.7
2001-12-31,2001,4,24.6,2450.0,104.5,2419.4,1321.9,1330.2,2683.7,1594.0,1322.4,272.1,-7.8,15.6,,,407.9,110.5,108.0,484.0,111.0,115.2,891.9,110.8,111.9
2002-03-31,2002,1,21.9,2262.0,103.8,586.8,364.4,289.7,709.5,472.4,304.4,108.0,14.7,12.3,94.0,103.1,393.7,91.6,110.2,434.3,87.2,109.1,828.0,89.2,109.6
2002-06-30,2002,2,26.3,2529.0,104.4,1392.5,828.3,717.6,1577.1,991.1,739.4,162.8,21.8,14.8,97.7,101.8,420.3,103.2,111.0,463.9,103.6,105.5,884.2,103.4,108.0
2002-09-30,2002,3,28.9,3013.0,104.4,2239.5,1331.6,1135.9,2503.8,1578.0,1153.8,246.4,17.9,15.7,104.7,105.1,443.6,105.5,110.2,519.9,109.3,109.6,963.5,107.5,109.9
2002-12-31,2002,4,30.2,3027.0,106.2,3422.3,2054.2,1687.2,3519.2,2204.7,1633.6,150.5,-53.6,18.1,106.8,102.7,496.3,109.7,109.2,593.4,111.4,109.9,1089.7,110.6,109.6
2003-03-31,2003,1,31.1,2851.0,107.5,770.0,491.6,355.1,875.5,580.9,371.3,89.3,16.2,16.0,98.6,107.7,469.7,89.9,107.3,544.2,89.1,112.2,1013.9,89.4,109.9
2003-06-30,2003,2,31.7,3102.0,107.9,1732.1,1059.7,854.7,1946.4,1243.9,884.8,184.2,30.1,18.2,100.5,109.9,503.0,104.5,108.6,568.9,102.3,110.9,1071.9,103.3,109.8
2003-09-30,2003,3,34.9,3600.0,106.1,2737.8,1657.4,1349.9,2998.5,1896.3,1371.7,238.9,21.8,19.6,102.8,107.6,527.2,104.1,107.3,615.3,106.1,107.7,1142.5,105.2,107.5
2003-12-31,2003,4,38.2,3655.0,107.6,3964.9,2358.6,1984.3,4138.7,2586.2,1930.5,227.6,-53.8,22.3,108.8,110.2,591.8,109.7,107.3,709.6,112.3,108.7,1301.4,111.1,108.1
2004-03-31,2004,1,37.3,3516.0,107.2,889.6,553.9,412.8,1045.1,688.6,433.5,134.7,20.7,19.9,96.6,108.6,573.7,93.0,111.2,663.6,91.9,112.2,1237.3,92.4,111.7
2004-06-30,2004,2,43.2,3972.0,108.0,2012.4,1184.6,1001.9,2424.4,1538.7,1059.8,354.1,57.9,23.0,100.2,108.3,614.5,104.5,111.2,707.7,104.4,114.4,1322.2,104.5,112.9
2004-09-30,2004,3,48.5,4594.0,107.3,3145.3,1837.0,1570.3,3855.6,2425.0,1692.6,588.0,122.3,25.0,102.9,108.3,650.4,104.1,111.0,780.1,107.5,116.0,1430.5,106.0,113.6
2004-12-31,2004,4,54.3,4945.0,106.2,4669.7,2698.9,2373.0,5429.9,3428.9,2403.2,730.0,30.2,29.5,107.3,106.8,741.7,110.7,112.0,910.8,113.6,117.2,1652.5,112.3,114.9
2005-03-31,2005,1,50.2,4459.0,105.6,1060.9,671.1,513.3,1716.3,1196.4,643.4,525.3,130.1,25.7,94.8,104.9,696.3,90.0,108.4,814.9,88.3,112.6,1511.2,89.0,110.5
2005-06-30,2005,2,59.6,5078.0,106.0,2443.1,1444.2,1240.1,3513.8,2386.4,1368.6,942.2,128.5,29.4,100.1,104.8,777.2,106.8,110.7,897.7,108.2,116.7,1674.9,107.5,113.8
2005-09-30,2005,3,64.9,5845.0,106.0,4098.2,2519.7,1950.2,5424.1,3681.7,2114.0,1162.1,163.8,32.5,103.5,105.4,817.9,103.8,110.4,978.9,106.8,115.9,1796.8,105.4,113.3
2005-12-31,2005,4,69.1,6228.0,107.8,6820.6,3514.3,2941.2,8579.6,5127.2,2999.9,1612.9,58.7,37.8,107.3,105.4,926.2,112.1,111.9,1132.4,112.7,115.0,2058.6,112.4,113.5
2006-03-31,2006,1,67.3,5793.0,107.3,1274.2,823.2,566.7,1989.5,1399.1,706.0,575.9,139.4,30.9,93.6,104.1,856.2,87.8,109.1,1001.0,87.3,113.6,1857.2,87.5,111.4
2006-06-30,2006,2,76.6,6368.0,108.1,3981.8,1854.7,1426.7,5384.5,2938.1,1671.6,1083.4,244.9,38.8,102.5,106.6,944.8,107.9,110.2,1123.3,111.2,116.8,2068.1,109.6,113.6
2006-09-30,2006,3,79.8,7276.0,108.2,5481.2,2866.5,2282.1,7612.2,4561.0,2618.1,1694.6,335.9,42.6,104.1,107.2,1004.6,105.5,112.0,1232.7,108.1,118.2,2237.3,107.0,115.3
2006-12-31,2006,4,79.8,7480.0,108.9,8375.2,4284.8,3657.7,10625.8,6278.9,3797.3,1994.1,139.6,52.0,107.3,107.1,1141.8,112.7,112.5,1407.5,112.4,117.9,2549.3,112.5,115.3
2007-03-31,2007,1,71.7,6780.0,108.1,1754.7,945.6,720.4,2530.3,1421.9,940.5,476.3,220.1,42.8,94.2,107.8,1027.9,87.7,112.4,1229.9,86.5,116.9,2257.8,87.0,114.8
2007-06-30,2007,2,83.7,7768.0,108.6,4229.8,2169.7,1814.4,5694.2,3245.7,2084.4,1076.1,270.0,52.8,101.8,107.1,1151.9,109.1,113.7,1390.7,111.8,117.5,2542.6,110.6,115.8
2007-09-30,2007,3,89.5,8903.0,108.2,6720.8,3464.3,2936.8,8903.4,5087.6,3320.7,1623.2,383.8,58.3,103.8,106.8,1244.2,104.7,112.8,1555.0,110.5,120.2,2799.2,107.9,116.8
2007-12-31,2007,4,109.5,9797.0,109.2,11378.6,5986.6,4790.5,13368.3,7781.1,4828.5,1794.6,38.0,69.6,106.1,105.6,1467.4,111.5,111.6,1802.0,113.3,121.1,3269.4,112.5,116.8
2008-03-31,2008,1,110.1,8878.0,109.2,2335.9,1332.7,963.4,3334.2,1932.7,1293.9,600.0,330.4,60.2,94.6,106.0,1387.7,90.1,114.5,1566.0,85.2,119.3,2953.7,87.4,117.3
2008-06-30,2008,2,126.7,10238.0,107.9,5515.5,2995.6,2407.5,7543.7,4370.7,2880.8,1375.1,473.3,75.4,100.2,104.3,1550.5,105.5,110.8,1776.6,110.8,118.3,3327.1,108.4,114.9
2008-09-30,2008,3,136.8,11542.0,106.4,8741.5,4594.2,3916.1,12178.9,7155.7,4571.5,2561.5,655.4,82.9,101.4,101.9,1681.8,106.8,113.0,1977.3,109.0,116.7,3659.1,108.0,115.0
2008-12-31,2008,4,98.0,10619.0,98.7,13991.8,7570.9,6253.1,16003.9,9275.9,6198.8,1705.1,-54.4,73.3,94.6,90.9,1866.6,107.5,109.0,2118.4,105.2,108.3,3985.0,106.3,108.7
2009-03-31,2009,1,57.3,8306.0,90.8,2807.1,1762.4,1051.3,3033.5,1732.7,1219.3,-29.7,168.1,38.5,87.9,84.5,1616.8,83.1,100.5,1710.4,78.8,100.1,3327.2,80.8,100.5
2009-06-30,2009,2,68.1,9222.0,88.8,6619.7,3893.8,2611.7,6042.7,3172.2,2711.3,-721.7,99.6,43.9,102.5,86.4,1735.1,104.1,99.2,1774.2,100.5,90.8,3509.3,102.3,94.8
2009-09-30,2009,3,82.5,10439.0,91.4,10503.9,6441.7,4099.6,9555.0,5114.4,4321.7,-1327.2,222.0,49.0,106.0,90.4,1781.4,102.4,95.2,1903.4,105.2,87.6,3684.8,103.8,91.2
2009-12-31,2009,4,95.6,10819.0,97.4,16048.3,9660.1,6255.7,13599.7,7337.8,5926.6,-2322.3,-329.1,60.3,106.7,101.8,1957.9,111.0,98.4,2105.5,108.9,90.6,4063.4,109.9,94.3
2010-03-31,2010,1,92.2,9572.0,103.5,3220.7,2199.5,1111.7,3463.1,1954.9,1391.0,-244.6,279.3,45.7,94.5,109.5,1769.9,87.6,103.7,1855.8,87.7,100.9,3625.7,87.6,102.2
2010-06-30,2010,2,97.4,10623.0,105.0,7331.2,4386.2,2747.6,7603.5,3997.9,3155.7,-388.3,408.1,58.2,103.9,110.9,1918.3,106.3,105.7,2016.2,107.6,108.1,3934.5,107.0,106.9
2010-09-30,2010,3,97.6,11773.0,103.1,11309.8,6701.2,4345.1,11419.4,6008.6,4812.7,-692.6,467.7,68.6,101.6,106.4,2036.0,104.0,107.3,2167.8,106.5,109.5,4203.8,105.3,108.4
2010-12-31,2010,4,112.9,12971.0,104.5,17616.6,10117.4,6636.9,16031.9,8305.4,6537.3,-1812.0,-99.6,76.5,106.8,106.5,2272.5,107.4,103.7,2432.1,110.4,111.0,4704.6,108.9,107.4
2011-03-31,2011,1,114.1,,104.1,3575.4,2214.7,1239.7,4392.5,2392.8,1640.1,178.0,400.4,64.5,93.9,105.9,2043.7,85.4,101.2,2120.0,85.6,108.3,4163.7,85.4,104.7
